future_lr_3,future_direction_3,future_rv_3,future_lr_12,future_direction_12,future_rv_12
-0.011123585218662413,-1.0,0.008491419609928122,-0.042344769643319236,-1.0,0.018929246140461844
-0.025469454415773196,-1.0,0.008669062670363565,-0.05748607171401576,-1.0,0.01911373484200497
-0.04394766431961816,-1.0,0.0019993715637323475,-0.0807380506956139,-1.0,0.01958850279386386
-0.044042453017512084,-1.0,0.001972833633447207,-0.0683207113381663,-1.0,0.019525813820740298
-0.012445342568902173,-1.0,0.019351794896797378,-0.06223636523323206,-1.0,0.01938359426133342
0.049692589016134825,1.0,0.029420777584716166,0.008173294515201324,1.0,0.025261720610376976
0.05533841735574385,1.0,0.026568846579830493,0.003939279661549833,1.0,0.025507696388161763
0.015180276414979543,1.0,0.03545203870815824,-0.020879597980481446,-1.0,0.024934327669772063
-0.04807649959993632,-1.0,0.007265902107617397,-0.0796390423873059,-1.0,0.020203255888585018
-0.04251714876288859,-1.0,0.010390622549217986,-0.07134512493022682,-1.0,0.020295728437451754
-0.034751551144319937,-1.0,0.008180991660613453,-0.006984482825122651,-1.0,0.02384759811495195
-0.03840647579219425,-1.0,0.009752556436720815,-0.028050416191270244,-1.0,0.02593639554526338
-0.037099526913509484,-1.0,0.010453859163744701,0.003769750754418544,1.0,0.027508912439219768
-0.030219747934989494,-1.0,0.010578182062789121,0.025842937654365628,1.0,0.027180375304555745
0.044963680891197066,1.0,0.033459876101235866,0.07299756172080518,1.0,0.02681954258404279
0.028217537982204055,1.0,0.03850004509516191,0.058950705396090264,1.0,0.02745989943161626
0.02891142468384844,1.0,0.03835039327830267,0.07830307955374449,1.0,0.02723844230640282
-0.0381197478863724,-1.0,0.005615253016284775,0.043512291203100295,1.0,0.023365806294875124
-0.019945987236032803,-1.0,0.006959579710624911,0.08173021286803928,1.0,0.022771835689960444
0.029075391570338338,1.0,0.029097336474235385,0.08533798292375216,1.0,0.022600324196340612
0.003512126596099341,1.0,0.04073535346759233,0.059661981273781306,1.0,0.025735292494771918
0.032597726921756776,1.0,0.043785630326215505,0.036829213061615684,1.0,0.026925469514794038
-0.001924130664831658,-1.0,0.035053409141992134,-0.0034364294985811394,-1.0,0.023932578904276726
0.06264150211988118,1.0,0.011508978720534089,0.05667306487477575,1.0,0.021194435802678317
0.018081427728162236,1.0,0.02033663112992772,-0.0029907011554797247,-1.0,0.021860512091279462
0.02224039396438937,1.0,0.02065648528736359,-0.024779285581010724,-1.0,0.02203592924334494
0.01547841037349218,1.0,0.01789278453708334,-0.05245247493724081,-1.0,0.0202754549197335
0.05099704545415307,1.0,0.004454513337828018,-0.025003529592703133,-1.0,0.02049782931182572
0.035946328053856114,1.0,0.013088359384622677,-0.04344196667574596,-1.0,0.020035897450185382
-0.02197005781569139,-1.0,0.030043137528838398,-0.07305831909885807,-1.0,0.018829544791595296
-0.0648469870424564,-1.0,0.018094527015087992,-0.05900603944534244,-1.0,0.020943773446359334
-0.059699020851994966,-1.0,0.020774327457156534,-0.08314826762406202,-1.0,0.021891280924744076
0.0005232101970937819,1.0,0.021790700803211573,-0.08485160025983518,-1.0,0.022124224948041275
-0.0072221872953386335,-1.0,0.025892129882505416,-0.06711700090665196,-1.0,0.021586152392802222
-0.023266986747261242,-1.0,0.026166793269326975,-0.0701530025612831,-1.0,0.02150607509683774
-0.04648403769213538,-1.0,0.014054399203739788,-0.11141026627580564,-1.0,0.020080479405342494
-0.0039314007090611724,-1.0,0.013179650615243033,-0.0739213669510419,-1.0,0.01942972336911508
0.003577712869654137,1.0,0.009861461750276013,0.028269587278587194,1.0,0.03319921672995155
-0.00512743378812508,-1.0,0.012348202347405515,-0.0087139193552348,-1.0,0.03531489243366763
0.01699453560151376,1.0,0.025016446917424152,-0.04530364630399375,-1.0,0.035664515462182494
-0.003759972894459951,-1.0,0.031962327554372116,-0.059577230085069655,-1.0,0.03599958824688571
-0.0337633389766685,-1.0,0.0401590711391821,-0.04040007483042318,-1.0,0.036134880934207136
-0.07295794850376591,-1.0,0.018275924789043312,-0.10803791104132676,-1.0,0.03495828525976359
-0.04670375578921604,-1.0,0.022069823049050804,-0.10186624125767896,-1.0,0.03471010402339604
-0.026035455818876674,-1.0,0.010231590444370987,-0.062456038943930814,-1.0,0.03318974500093566
-0.014026553339728576,-1.0,0.014136071340312799,-0.04454427753230372,-1.0,0.03361171454979688
0.07515560309260905,1.0,0.05639142636340308,-0.049427005458269724,-1.0,0.0336052718894392
0.05621230922843545,1.0,0.06448675221820538,-0.10715237186397264,-1.0,0.039708026721962476
0.024686319937986978,1.0,0.06965619086872175,-0.1178072232554026,-1.0,0.03943151224486901
-0.08426910449400271,-1.0,0.009809823142102565,-0.21603069064748692,-1.0,0.024666448442746486
-0.03681358926331346,-1.0,0.017834334850879777,-0.1871112920500173,-1.0,0.02380111482406108
-0.04573972913581925,-1.0,0.021255050656787636,-0.15222802041262185,-1.0,0.024755283276160805
-0.046048984067069254,-1.0,0.02129586764591578,-0.10489661927681992,-1.0,0.027019083082104562
-0.05581930309017613,-1.0,0.015969749375746644,-0.10466337161981021,-1.0,0.027032476223114693
-0.009464314994742873,-1.0,0.0171673745946835,-0.10667149179027624,-1.0,0.027203470073504668
0.005735480010193195,1.0,0.009971963249616035,-0.08172598305078882,-1.0,0.02714119494961581
-0.0707317887389185,-1.0,0.048094942916794815,-0.08816666885993618,-1.0,0.0270913153099856
