future_lr_3,future_direction_3,future_rv_3
-0.006470397107369408,-1.0,0.005108895409750728
-0.00026172602984075866,-1.0,0.002591084804875656
-0.0035601442156121266,-1.0,0.000777131007876161
-0.004372263372641072,-1.0,0.0012136373148395258
-0.006427572465629083,-1.0,0.0014930393989443728
0.0009544927661089275,1.0,0.005745231296449432
0.004492378087471494,1.0,0.00511417084035028
0.010751644809376515,1.0,0.0031367576860061737
0.0010705785329037099,1.0,0.002917175714400423
0.008211861011623967,1.0,0.005314458442147592
0.0004894159217201377,1.0,0.006752892920569243
-0.0015343495958735076,-1.0,0.007268257920227686
-0.0055890214058198495,-1.0,0.004927370307634979
-0.008498962598773474,-1.0,0.005936078481896874
-0.003981030764073523,-1.0,0.005774955537166077
-0.009310261507689432,-1.0,0.003918362978591434
0.004163312499812832,1.0,0.00396266784538632
0.0030116920218770105,1.0,0.0042447462899164404
0.008003973329660852,1.0,0.003716308829365928
0.004466916067356053,1.0,0.002555808659860658
0.0012711226435797585,1.0,0.004374710755802891
0.003314470231581268,1.0,0.005176304281989623
-0.0002683464877293318,-1.0,0.0051524653818663625
0.005276579409899895,1.0,0.0034442780335026055
-0.0003352120912136769,-1.0,0.0010872813860393622
0.00903597343428686,1.0,0.004485127809039733
0.01209340280276372,1.0,0.004117636458718295
0.013549192270589927,1.0,0.003417282100662567
0.008564774865288172,1.0,0.0013479799928414083
-0.003243322262502346,-1.0,0.0058805586516645775
-0.0023223584536040676,-1.0,0.00609321659826917
-0.003003718228523411,-1.0,0.005881621172314156
0.032922635502785624,1.0,0.014861570413306338
0.060786903060252584,1.0,0.015424256618835328
0.05031831075947579,1.0,0.021458910325282434
0.03491018008877056,1.0,0.019093413053759615
0.02940103327582655,1.0,0.01651111740916304
0.048848098778714544,1.0,0.0072759631791501685
0.040465075683776774,1.0,0.010304239053053162
0.016636754515362284,1.0,0.005423070251517811
-0.06896926293859629,-1.0,0.044329858062599446
-0.04036095154751784,-1.0,0.05495363873604344
-0.027054015042068613,-1.0,0.05717452076984225
0.04809891293388446,1.0,0.01605262929846444
0.02349095499640974,1.0,0.006572880007302285
0.013577372440179758,1.0,0.0036736512746293093
0.017355333953190666,1.0,0.002234446253642669
0.003873474375824415,1.0,0.005575380780529433
0.018470028818557083,1.0,0.012034304194467061
0.030588694633642888,1.0,0.013313967558549581
0.04188285906146483,1.0,0.006825843643416035
0.03725206907505729,1.0,0.005591497051305311
0.017879314638960864,1.0,0.008323714879928213
0.006555997804973401,1.0,0.010478607946719868
-0.016812264224952855,-1.0,0.0033833639212354086
0.0013332131490955135,1.0,0.013350838639167688
-0.0025428208482640713,-1.0,0.01431795797260101
6.021432760405787e-05,1.0,0.01362207552241795
-0.01764763666845326,-1.0,0.003562134994587132
-0.017663437999928533,-1.0,0.003569150259865347
-0.03616135996989023,-1.0,0.011816520357865528
-0.027047783335186537,-1.0,0.01608523983009996
-0.0222368923364904,-1.0,0.01631692296636119
0.0029173903542645263,1.0,0.005722610802824878
0.024520898877126385,1.0,0.017902454438079703
0.023779277816277755,1.0,0.0181629714802202
0.010530462828128861,1.0,0.022190744735542615
-0.02176620326182288,-1.0,0.005172444216334115
-0.021519990523939825,-1.0,0.00522801973728527
0.0021685969839833064,1.0,0.008499014725980535
0.013668860445523734,1.0,0.0081595475707829
0.01993403061588772,1.0,0.004625650910262625
0.002001849014733992,1.0,0.007693463582703691
-0.019352853974174522,-1.0,0.007535770524151281
-0.012165570207946175,-1.0,0.011458938230095427
-0.03639696682040139,-1.0,0.02021149442197178
-0.023679549285253287,-1.0,0.021108586302719293
-0.06430132886941031,-1.0,0.017922420784716585
-0.05770261208919969,-1.0,0.016380471904799382
-0.04148125607938624,-1.0,0.02561333526874482
0.005794966717045824,1.0,0.02336715842112139
0.03662566282873492,1.0,0.0055672891191563744
0.04361782985282581,1.0,0.00837736953775492
0.016730388642256955,1.0,0.017000118740503233
-0.002541124011726126,-1.0,0.02022073091776657
-0.034515529462424865,-1.0,0.0019955446739447396
-0.018457108890315155,-1.0,0.00946754580003648
0.010961307047058,1.0,0.01273657591873817
0.0070918251130009935,1.0,0.014768559152361941
-0.004853383062163985,-1.0,0.015483814345000424
-0.010586540633232389,-1.0,0.012252193412508968
0.023524624819794226,1.0,0.014222918395479643
0.04465160852176808,1.0,0.005369798430675159
0.04536188973569466,1.0,0.005066740227919316
0.009889753810092827,1.0,0.01567520299687762
-0.03868093485618651,-1.0,0.02293478423552015
-0.060575631158371834,-1.0,0.012835343300909902
-0.05963844961914866,-1.0,0.01304442313599144
-0.002462966510842435,-1.0,0.02009032314143242
-0.0013363222326923108,-1.0,0.019813808209525892
0.024530204793656196,1.0,0.016442195481078885
0.014240454209296871,1.0,0.012653059706308081
0.016987858084695162,1.0,0.011066847839403874
0.018567521008456822,1.0,0.011551330802251517
0.00048705844270635623,1.0,0.011695178815951763
0.00363788574840207,1.0,0.01082371543835498
0.01764484051450843,1.0,0.018889123601696665
0.01617276612621943,1.0,0.019367103276680786
0.031596290850039566,1.0,0.017608857730395888
0.0123040541518602,1.0,0.010183608931401782
0.038886988442101256,1.0,0.005503400900210902
0.037117563206685134,1.0,0.0058303229984717035
0.03677239584429337,1.0,0.005951033594420367
0.009744462544638566,1.0,0.009747841262287145
0.014309661644917426,1.0,0.011461661264769493
-0.0005783385296656007,-1.0,0.012523268445394803
0.006459283680314343,1.0,0.010891886293409168
-0.010946256570791846,-1.0,0.002999479250191887
-0.002247916582071241,-1.0,0.0024969899207207694
0.005866945319185746,1.0,0.005169928402752238
0.04382221440654277,1.0,0.017694050985610388
0.03211821500298129,1.0,0.02254454986352467
0.029114560052398986,1.0,0.022843755004952525
-0.018557348735699364,-1.0,0.009103232981764168
-0.011056957963626601,-1.0,0.008601010511522112
-0.034937576872433596,-1.0,0.008728088699334322
-0.007498252047160037,-1.0,0.017135010081513316
0.009329283387309317,1.0,0.019752426152972923
0.029352266833621243,1.0,0.008192268289975862
0.003846461965110848,1.0,0.012722714935711997
-0.02039849997265364,-1.0,0.0061963089715874504
-0.01046630038855767,-1.0,0.011917890579779588
0.0018047380633348098,1.0,0.010042833870025076
0.019825287539648073,1.0,0.004676731282655402
0.018617389018933395,1.0,0.004236882015357319
0.005885442889690395,1.0,0.01157515017070965
0.03151553087392145,1.0,0.022664069850939474
0.0185238334584934,1.0,0.024266017753125632
0.03313311023787868,1.0,0.02008217653899467
0.020704937361779585,1.0,0.01308419315754849
0.03496427764871157,1.0,0.009183640537047075
0.024207239859546092,1.0,0.014618912430107635
0.005235478426195428,1.0,0.008951621133587008
0.00814479215658892,1.0,0.010387012876715023
0.015593995533565774,1.0,0.007068953798346254
0.010357574141606207,1.0,0.008569450583515336
-0.008678437827995822,-1.0,0.002859746955290191
-0.015909194016279216,-1.0,0.002317410088302323
-0.003477518013703218,-1.0,0.009398124920751273
0.009698089492243156,1.0,0.009214778773501499
0.005022654401736659,1.0,0.011897923183196928
0.016112899247504586,1.0,0.01646497585206274
0.011895829296099336,1.0,0.016389386725363834
0.02968423723912217,1.0,0.009491210553789846
0.016568618127232426,1.0,0.002253564600429735
0.026761086876550877,1.0,0.003937829636204531
0.02480432636803087,1.0,0.0047866646493688395
0.0327181216275374,1.0,0.006225391436127157
-0.0005631496486682153,-1.0,0.01808128264194115
-0.00148397337560624,-1.0,0.017986514486673093
-0.01581772730578912,-1.0,0.012730981923986522
0.018786702667931365,1.0,0.007325614894613851
0.015342253322144117,1.0,0.008316529839653471
0.008222434290999558,1.0,0.010669704469702853
-0.02278070296402568,-1.0,0.00803622941716653
-0.02513429195788497,-1.0,0.0070577819121718155
-0.05876698965694516,-1.0,0.018541195617040228
-0.011566841210923329,-1.0,0.035210696633038954
-0.0003219121766075972,-1.0,0.03595590669516693
0.021116851185906782,1.0,0.024507942374378363
0.00496430493960176,1.0,0.017401687010599545
0.006743112842126919,1.0,0.017770646995720417
0.017584976043487188,1.0,0.011591122395953576
0.02106468590029742,1.0,0.013006727514598911
0.044975691201130985,1.0,0.020838064091955898
0.06602007979599023,1.0,0.010657210825561215
0.048563962769383906,1.0,0.016786979075091753
