horizon,feature,corr_rv_all,corr_rv_train,corr_rv_test,corr_lr_all,corr_lr_train,corr_lr_test,corr_direction_all,corr_direction_train,corr_direction_test,max_abs_test_corr
3,vol_20,0.4597908389856466,0.4150611999307786,0.3519838492894876,0.022414627766812103,0.034446527962949745,0.022643062280202245,0.015536179231858597,0.030226895090892648,0.012116899368290865,0.3519838492894876
3,rolling_corr_ref_12,0.20376915911411472,0.1848227758859032,0.19868345775864302,-0.0004018152533624442,0.010457244495507041,0.0019867831021455912,0.00032281049974505706,0.0113230573046054,0.0011924114097480495,0.19868345775864302
3,rolling_corr_ref_24,0.20262881314542322,0.25766839548331966,0.1968811456216852,8.926167417790488e-06,0.016427804910905168,0.0020290843149940105,0.0033915936500843527,0.024586315135411128,0.0044197757808447915,0.1968811456216852
3,rolling_beta_ref_12,0.19711090549858054,0.2089733110639903,0.19631960080524774,-0.0004654616814695932,0.005701675102324272,0.0015674637340949832,0.00031241950314054624,0.010302295928829088,0.0008541415929606581,0.19631960080524774
3,rolling_beta_ref_24,0.19928226298754437,0.2541358019682467,0.19433314040261152,-0.0001494889652609623,0.012458390277984961,0.0017226076861337845,0.0033697107217822405,0.02212046039036035,0.0042452819210344285,0.19433314040261152
3,price_ratio_z_12,-0.07225371940528504,,-0.07225371940528504,-0.04636953134636629,,-0.04636953134636629,-0.06517163647840964,,-0.06517163647840964,0.07225371940528504
3,price_ratio_z_24,-0.058202531376962956,,-0.058202531376962956,-0.04593955383005489,,-0.04593955383005489,-0.029308977147171483,,-0.029308977147171483,0.058202531376962956
3,volume_imbalance,0.030584377186514963,-0.0381191616215418,0.0431883838395986,-0.013447059368635902,-0.008345978003227028,-0.017630065350152956,-0.04718930041746709,-0.037101147781194395,-0.05128731686488979,0.05128731686488979
3,log_return,-0.0344973170277886,-0.050979481760221206,-0.013830942120480805,-0.009116554296868742,-0.007490680560209044,-0.011413457298144889,-0.03520490791679912,-0.025870189356466053,-0.04480345572527568,0.04480345572527568
3,asset_log_return,-0.0344973170277886,-0.050979481760221206,-0.013830942120480805,-0.009116554296868742,-0.007490680560209044,-0.011413457298144889,-0.03520490791679912,-0.025870189356466053,-0.04480345572527568,0.04480345572527568
3,reference_log_return,-0.0344973170277886,-0.050979481760221206,-0.013830942120480805,-0.009116554296868742,-0.007490680560209044,-0.011413457298144889,-0.03520490791679912,-0.025870189356466053,-0.04480345572527568,0.04480345572527568
3,vwap_dev,-0.009515876142070483,-0.020871525705506246,0.005494082883605147,-0.01055767031490798,0.0005944615187838099,-0.026087951775476355,-0.031731139244530124,-0.01860962962651813,-0.044701529926962566,0.044701529926962566
3,price_ratio,-0.013669084887681258,,-0.03573529188397099,-0.015611890458437283,,-0.02352635744305315,-0.01176361833299388,,-0.01411736159052766,0.03573529188397099
3,reference_close,-0.10007538627367714,-0.05193233138278911,0.017061583157775857,-0.01034763269425922,-0.016136321737037426,-0.017790175673862433,-0.001718117884488958,-0.014476045731224019,-0.001720085308026307,0.017790175673862433
3,relative_strength_12,0.003240984668008971,,0.0050183547107236605,-0.010073616114043775,,-0.015463261914170717,-0.008894344795277098,,-0.010802338229252587,0.015463261914170717
3,relative_strength_24,-0.008179712558118533,,-0.012665383488439983,-0.00569766952886947,,-0.008745809116177668,-0.0024210462452327456,,-0.0029400240767365367,0.012665383488439983
3,relative_log_return,,,,,,,,,,
