future_lr_3,future_direction_3,future_rv_3,future_lr_12,future_direction_12,future_rv_12
0.039917096529643675,1.0,0.06400334974677384,0.042615862133747295,1.0,0.037003863205886244
-0.07257845333687339,-1.0,0.0010673000062964267,-0.042653756748619126,-1.0,0.026042549710353326
-0.05654411175154947,-1.0,0.010172524798942876,-0.06890243104192274,-1.0,0.028795374171170007
0.018846258624831684,1.0,0.039992202891830704,-0.03856802381238712,-1.0,0.028362017822989232
-0.0019975592037913686,-1.0,0.04901249655663643,-0.010027939186124615,-1.0,0.027527101170729196
-0.001899972630792765,-1.0,0.04900610260990819,-0.006272421998414171,-1.0,0.027470440671025786
-0.04679787831694406,-1.0,0.027274474433837227,-0.07635445735064408,-1.0,0.022453616182971727
0.029875833622757877,1.0,0.019040127421406407,-0.031368926531358365,-1.0,0.018642271225287912
0.033659138733372576,1.0,0.017408353850444654,-0.04215599349602718,-1.0,0.01912794448594835
0.030650385296216,1.0,0.017908129507744133,-0.020325218247235696,-1.0,0.021089501152286593
0.0020464221692877566,1.0,0.003468740851922675,-0.0007550019233690947,-1.0,0.024318454077905463
-0.044117485392953085,-1.0,0.030057452621757345,-0.23401913431046886,-1.0,0.07252908380501885
-0.04126678941649074,-1.0,0.030945500269963972,-0.28352227300864496,-1.0,0.07251914238031971
-0.03995263577437888,-1.0,0.03128616713214433,-0.24630073364054028,-1.0,0.07448150938116588
0.0060858972919591026,1.0,0.0048977934195192745,-0.15788815515587,-1.0,0.07572760501687337
-0.018940174913425284,-1.0,0.0113316950813647,-0.0996223511817356,-1.0,0.0788836345788275
-0.02333854654902512,-1.0,0.009632256198313984,-0.14975572322041628,-1.0,0.07954088126194797
-0.037783544128405774,-1.0,0.00992809407150722,-0.2915848093177762,-1.0,0.08813628854284404
0.009231360786464332,1.0,0.02328753197888061,-0.3455816113534447,-1.0,0.08920350523008098
0.06048975823074715,1.0,0.0346650645034988,-0.32663994379458605,-1.0,0.08990216362402761
-0.1582040020810691,-1.0,0.15952594054447541,-0.28604979973307193,-1.0,0.09104471885661922
-0.23254666946519328,-1.0,0.14585905633691115,-0.3234434705900152,-1.0,0.0897327004585637
-0.24349930954788343,-1.0,0.14112754422541254,-0.38887920545367494,-1.0,0.08655568562648502
0.03201349376164575,1.0,0.0492134661007088,-0.23358607544520393,-1.0,0.06114605284339299
0.14263313241041864,1.0,0.01465306522010422,-0.1810626873212275,-1.0,0.060941361557482955
0.056592374645745125,1.0,0.05834182218494556,-0.2576267088318398,-1.0,0.05871262201913083
-0.12761075686994705,-1.0,0.10489660187999679,-0.21641484989321852,-1.0,0.06357571085298523
-0.26489943508513436,-1.0,0.0509509757224383,-0.2660323962810179,-1.0,0.05918427684098777
-0.20022276712319492,-1.0,0.08166526308277501,-0.21124788479190104,-1.0,0.059217786929284484
-0.032248534543701524,-1.0,0.053816351126734746,-0.02620902721953794,-1.0,0.04546928194351213
0.03136950154989382,1.0,0.017210106310244947,0.0011316790472999938,1.0,0.04217335281763763
-0.0017495034283417366,-1.0,0.020462933678764828,-0.008137260696208848,-1.0,0.04190368760807989
-0.10574027779320111,-1.0,0.039923282856508334,-0.10539503352945773,-1.0,0.04614498490283625
-0.09016588619640559,-1.0,0.04561011111290723,-0.11852794385149351,-1.0,0.04631138137752862
-0.11224681292604827,-1.0,0.0437892761855191,-0.12047289650892329,-1.0,0.04633556951863672
0.049184719313631164,1.0,0.05944995438225094,-0.050094536592836025,-1.0,0.04060826721649743
0.05766342345062825,1.0,0.05893422646397911,-0.06814770267848902,-1.0,0.04051650231427775
0.10297119868568388,1.0,0.039899305303820735,-0.05773476763233032,-1.0,0.03988181569037236
0.06259506580373353,1.0,0.016799397087483292,-0.1495317339709638,-1.0,0.029556184582729877
0.0022646402431835133,1.0,0.04311116628514588,-0.17647632531544166,-1.0,0.028289382050478016
0.0028878569724972714,1.0,0.04316430836188134,-0.23510425637187365,-1.0,0.0290810661939733
-0.11143454085362131,-1.0,0.042126084562022596,-0.2435369042355227,-1.0,0.027577262009329064
-0.08829012134889969,-1.0,0.041954246183699875,-0.257287497852307,-1.0,0.02896959795891853
-0.11408513924105618,-1.0,0.03166776638438391,-0.20304097717389963,-1.0,0.037148800074583654
-0.05043978085657941,-1.0,0.005767011911823488,-0.09384421998502857,-1.0,0.035084854668698144
-0.039785645023401095,-1.0,0.0034954269987543937,-0.07549371014497674,-1.0,0.03479319325936074
-0.0495086840494553,-1.0,0.009092917424196037,-0.08464717478457662,-1.0,0.03515418465822033
-0.05025247806449662,-1.0,0.008868363253446036,-0.022394474792182706,-1.0,0.03893583815408458
-0.050665199186324394,-1.0,0.008752943643137891,-0.020596330625101245,-1.0,0.03889805531895688
-0.07439829005385945,-1.0,0.022452875769864253,0.02183533611768551,1.0,0.03831587642569396
-0.03141010446082537,-1.0,0.04109221155853461,-0.029638973426154736,-1.0,0.04259433663522289
-0.0785465322936818,-1.0,0.050059210074738875,-0.05235136635375792,-1.0,0.04355485069732317
0.0349511361704713,1.0,0.0633592042069627,-0.0008133388004283315,-1.0,0.0410358430855473
0.038258143396872835,1.0,0.06390137739072049,-0.004342683492822741,-1.0,0.04080168983943391
0.09350366635843055,1.0,0.033522679598491596,0.08278791131438112,1.0,0.036942755970700854
0.004308663148266834,1.0,0.030929128792277032,-0.012640895165506594,-1.0,0.03397339367548555
