horizon,feature,corr_rv_all,corr_rv_train,corr_rv_test,corr_lr_all,corr_lr_train,corr_lr_test,corr_direction_all,corr_direction_train,corr_direction_test,max_abs_test_corr
3,vol_20,0.46470237971099293,0.4717497609880551,0.4241125191007784,-0.014784042818152997,-0.05010110929193443,0.025649497671644046,-0.015851947067518125,-0.022989797958958735,-0.01789795600680186,0.4241125191007784
3,relative_strength_42,0.18660392941359497,0.003885458314637995,0.3238666221440594,0.00014209114775579304,-0.050378827168314835,-0.005640314119839423,-0.023477178138340868,-0.033307869930234046,-0.04562664176112276,0.3238666221440594
3,relative_strength_12,0.08138970784043421,-0.05872129544862862,0.2817707711187707,0.07030303030499357,0.03994161465608515,0.08515944842192819,0.0022034746584759747,-0.01572041738739093,0.018426146348116398,0.2817707711187707
3,funding_rate,-0.1939911753197429,-0.1273244107770879,-0.28012871848612503,0.019133124730209027,-0.0012633688173033827,0.06153050349982977,0.013381976103176114,0.012510966485373531,0.022443101499064092,0.28012871848612503
3,funding_abs,0.193468195297605,0.12995609704912628,0.27625400379146375,-0.02976297499618824,-0.015780009181145176,-0.06317209436798914,-0.017566987665032806,-0.01910556455603489,-0.023155022666205227,0.27625400379146375
3,funding_z,-0.09146303313337528,-0.03861753159055077,-0.2716530634879979,0.006717154777395761,-0.0015591039704535648,0.010090202973326426,0.004538560834681176,0.005388268070358361,-0.006785706336018295,0.2716530634879979
3,price_ratio_z_42,0.15496439055332345,0.08807172203527548,0.1939671068074414,0.04657896563482295,0.005433050859995237,0.06081316202186316,-0.025920545511985017,-0.05004882081684629,-0.010403540389488578,0.1939671068074414
3,funding_abs_pct,0.0992226885151681,0.06503363746812517,0.19279032668613366,0.02724009487527783,0.03530367040464385,0.024597575343812645,0.010095297409988163,0.005930461311037522,0.025742633409441756,0.19279032668613366
3,reference_close,-0.16682392251228267,-0.1136926917589286,-0.16164061202574662,-0.09642256488646918,-0.048530508655129194,-0.049343035301817086,-0.05881776991970221,-0.04368977896524278,-0.05232512553591272,0.16164061202574662
3,relative_log_return,0.013950472762570339,-0.05490151248943265,0.1273110694326197,-0.0025302843346900056,-0.021742954627058914,0.018274614404027494,0.0003152074084837838,-0.0036063162738185946,0.0013373014482315356,0.1273110694326197
3,price_ratio_z_12,0.09171961557913656,0.053010129918543085,0.1267908096575918,0.03705752538332691,0.04225739059827023,-0.009944068618907257,-0.04023402691672529,-0.034563304270791954,-0.0726360981504527,0.1267908096575918
