future_lr_3,future_direction_3,future_rv_3,future_lr_12,future_direction_12,future_rv_12
-0.5579873882920849,-1.0,0.020932182145026366,-0.7197600562384023,-1.0,0.12558327720957926
-0.13633128945758966,-1.0,0.22439485858084496,-0.505995310573617,-1.0,0.11755646442891053
0.021978906718775004,1.0,0.1920745590188737,-0.4333998854397185,-1.0,0.11134023962778447
0.04413573004987237,1.0,0.18221718590099334,-0.3445533967082386,-1.0,0.10462786851493418
-0.25625834880846776,-1.0,0.0597600627208483,-0.6899105071311595,-1.0,0.0753529032167938
-0.1702850523872339,-1.0,0.10599817315508003,-0.6538642785667765,-1.0,0.07745807295492359
-0.023948208876515054,-1.0,0.0744708204243284,-0.46782644731683476,-1.0,0.07643259658949124
-0.015746559956748563,-1.0,0.07014992136985819,-0.3790978114057286,-1.0,0.07566309846686593
-0.23360924553325368,-1.0,0.07937025557907511,-0.5091229522894072,-1.0,0.07031209828329314
-0.1819601891196747,-1.0,0.10634692460761107,-0.5078535379352918,-1.0,0.07038579223259628
-0.09765911235081104,-1.0,0.1102574695209314,-0.4286177914148279,-1.0,0.07037878846180669
-0.05148449423800594,-1.0,0.08443632540092677,-0.2677466774184938,-1.0,0.059730205601272575
-0.1827807287619212,-1.0,0.05991400651957773,-0.36995174719437807,-1.0,0.055029013924943755
-0.32024648601513217,-1.0,0.02727875032217985,-0.39286413492257033,-1.0,0.05403887786829223
-0.198485486408283,-1.0,0.07219256120877765,-0.4658197592877982,-1.0,0.06631086812992326
-0.0791373205587238,-1.0,0.09262233441208796,-0.4971916982757567,-1.0,0.0685646432999356
0.05455434691696315,1.0,0.02081779113723096,-0.38412243943984303,-1.0,0.06250816014326138
-0.02554372610986455,-1.0,0.0560184078486627,-0.4159709568534884,-1.0,0.061172405904366796
-0.06397529949497205,-1.0,0.041276901755858374,-0.5892127019222659,-1.0,0.06197095588552665
-0.06526653996584786,-1.0,0.04092005805288167,-0.55121583736701,-1.0,0.06566969803684485
0.007767029337659714,1.0,0.0018353533645820708,-0.5322599199826319,-1.0,0.06529182955715991
-0.04405839837876102,-1.0,0.029458232150821627,-0.5186878106902524,-1.0,0.06629996113460451
-0.06190545585855345,-1.0,0.026502835269529398,-0.6540215392878685,-1.0,0.06960848782618023
-0.24955757610731033,-1.0,0.08835994878748711,-0.6659145549961549,-1.0,0.06877872266549102
-0.31002067984329984,-1.0,0.08329087211484068,-0.5776846412576315,-1.0,0.07408875503545524
-0.3115047905324049,-1.0,0.08252536557029728,-0.2600191576284734,-1.0,0.12521456086465868
-0.14863668397397323,-1.0,0.051587988672119375,0.19647652413773753,1.0,0.14001501358633678
-0.17115832420523303,-1.0,0.0645890463279186,0.32504478069321574,1.0,0.13434483305490663
-0.11253905101020378,-1.0,0.08694493103196266,0.13979539520945328,1.0,0.14984629712751835
-0.14183268923900805,-1.0,0.08575469943870462,0.05328136661293659,1.0,0.15358054930743345
0.006549591737041505,1.0,0.04666086391851217,0.2111241758484257,1.0,0.14750687173905147
