horizon,feature,corr_rv_all,corr_rv_train,corr_rv_test,corr_lr_all,corr_lr_train,corr_lr_test,corr_direction_all,corr_direction_train,corr_direction_test,max_abs_test_corr
3,hl_range,0.43995463256648354,0.4412720745606867,0.38671476930684934,0.028936105991127833,0.031375622535484156,0.024917539578754873,0.021075527072909613,0.0247857894803418,0.01900030349417809,0.38671476930684934
3,vol_20,0.4597908389856466,0.47560965515467707,0.35562846386400254,0.022414627766812103,0.02171899939258675,0.02815568350659269,0.015536179231858597,0.01717186919696587,0.018442156239595272,0.35562846386400254
3,vol_5,0.41373685291813805,0.42218721791063324,0.34173879152159187,0.01445749623423767,0.012578853286521629,0.021588124877641838,0.01855348887336613,0.01959327896749345,0.02119454582638428,0.34173879152159187
3,trades_ratio,0.13249991387693663,0.109042669611602,0.19417749772574597,0.004966513043636489,0.00952944586274098,-0.0010865519695123884,0.003758735104816416,0.007004911591513489,0.0002229662788996404,0.19417749772574597
3,vol_ratio,0.1261692706347948,0.10673663566319876,0.17726861227613022,0.004489900401314627,0.007317118985221305,0.00033923403683553744,0.002521639805247529,0.00677647209916346,-0.0024811922273456537,0.17726861227613022
3,volume_imbalance,0.030584377186514963,0.02168805956454336,0.035400689161070545,-0.013447059368635902,-0.007333845064534075,-0.022521052811353658,-0.04718930041746709,-0.04357290618092228,-0.05315465667690575,0.05315465667690575
3,delta_norm,0.03058437718651497,0.021688059564543356,0.035400689161070545,-0.013447059368635907,-0.007333845064534078,-0.02252105281135366,-0.047189300417467106,-0.04357290618092228,-0.05315465667690575,0.05315465667690575
3,taker_ratio,0.030654978121452583,0.021915491677339145,0.03540068916432511,-0.01331896605741439,-0.0070648150920228445,-0.022521052811234253,-0.04711222681158559,-0.04333998418778674,-0.05315465667681695,0.05315465667681695
3,vwap_dev,-0.009515876142070483,-0.012049064890058416,-0.003057270166128973,-0.01055767031490798,-0.0026731416430763252,-0.031165164522284912,-0.031731139244530124,-0.027415640402493092,-0.041082616326788716,0.041082616326788716
3,log_return_2,-0.04453456474762288,-0.04942664487234808,-0.03177509645052647,-0.01726229659414057,-0.021571722842371077,-0.0061295977550452204,-0.04403802798076673,-0.04895929987075276,-0.03619634786659721,0.03619634786659721
3,body,-0.037333088403995095,-0.041861822983463845,-0.025197608120682363,-0.009635713685488696,-0.00934193660954422,-0.010408455399624176,-0.0353960498639616,-0.03626096147635573,-0.03493259430916674,0.03493259430916674
3,log_return,-0.0344973170277886,-0.03882347367463137,-0.023263185628671416,-0.009116554296868742,-0.008714308991486534,-0.010162133416512778,-0.03520490791679912,-0.03600456653691692,-0.0348399543726857,0.0348399543726857
3,lr_z20,-0.008877888668933721,-0.011839328221688847,-0.004187353565692797,-0.003453054752323476,-0.003796460718562457,-0.0029282962243813828,-0.03626034567904365,-0.04255869006732427,-0.027676641712684535,0.027676641712684535
6,vol_20,0.5415582162856623,0.5582923638350701,0.4247560832509592,0.02897426660638995,0.028219658518599373,0.03621929575135676,0.019577174038236625,0.025013697279663096,0.017145697262953882,0.4247560832509592
6,hl_range,0.49487525542984784,0.5007692565203961,0.41796843095523434,0.023067238647561335,0.021378439451622395,0.03134838386213902,0.019542622146556374,0.022123880946227584,0.02163082561791717,0.41796843095523434
6,vol_5,0.4746136156996015,0.486268288620178,0.3852602092029721,0.015230919046988074,0.008714151230033941,0.03569089472949228,0.01965656360472383,0.020641211072048152,0.024205957752021435,0.3852602092029721
6,trades_ratio,0.12251093882122072,0.10463141404525643,0.18027384871414578,0.002575212274677242,-0.0015508879385081077,0.00850120373742711,0.0046110318712962225,-0.002067267269083808,0.01127804829283269,0.18027384871414578
6,vol_ratio,0.11932691072374974,0.10276454218572087,0.1698884048209631,0.0029852389920491536,6.475695291745717e-05,0.007655217706830105,0.003017759540342579,0.0007092307722771434,0.005476634353160892,0.1698884048209631
6,taker_ratio,0.03688464737362076,0.024494489739147227,0.045531486650770205,-0.008534152024730873,-0.0045450786103760216,-0.014152286290783323,-0.03659663672195558,-0.04242787647587201,-0.03419299640838316,0.045531486650770205
6,delta_norm,0.03703778100986494,0.024721417965010685,0.045531486647095346,-0.00821027402581711,-0.0038342066429729736,-0.014152286291001265,-0.036657892348343595,-0.04265375550768988,-0.03419299640849022,0.045531486647095346
6,volume_imbalance,0.03703778100986496,0.024721417965010685,0.045531486647095325,-0.00821027402581711,-0.0038342066429729775,-0.014152286291001265,-0.03665789234834361,-0.04265375550768988,-0.03419299640849021,0.045531486647095325
6,log_return_2,-0.04666805035847469,-0.05268208535529103,-0.03105084165879657,-0.017845891436365686,-0.02239762535157576,-0.00622735620080987,-0.037674745826709474,-0.045763756902587445,-0.023652430483693154,0.03105084165879657
6,vwap_dev,-0.005504835741541395,-0.009563086918266442,0.005504533468219438,-0.013718993501570766,-0.01190742909551599,-0.01839831622141371,-0.031417950033665216,-0.03334720628538675,-0.028815144194382775,0.028815144194382775
6,body,-0.037894925594504775,-0.04390471607065255,-0.02167072136743145,-0.011529001320196587,-0.01340644419523334,-0.006767215388386253,-0.031135942649850337,-0.03584699888212525,-0.0233079653028779,0.0233079653028779
6,log_return,-0.03469280495374266,-0.0404222012304905,-0.01964950678978151,-0.011249017701527926,-0.01306961895120378,-0.0066236232320489455,-0.030977840216656134,-0.03561943313522574,-0.02324987313212591,0.02324987313212591
6,lr_z20,-0.007566063246915699,-0.014126976564709964,0.00440490598950531,-0.0002025803117421725,-0.000771516470697859,0.0008474944548239105,-0.03003830464281046,-0.041501584042852604,-0.014418885240083853,0.014418885240083853
12,vol_20,0.5874557237160738,0.6036652029840398,0.464847303245606,0.03592619716400867,0.035871254845416645,0.04293803844305493,0.022708427489789622,0.030900905996974263,0.019754860558263178,0.464847303245606
12,hl_range,0.5053238736830924,0.5162682459999962,0.4023032917667704,0.02714361360571667,0.021972200905122103,0.046739820227510914,0.018647674044491927,0.021748922611535392,0.023653040861733886,0.4023032917667704
12,vol_5,0.49156392602341853,0.5052070386737614,0.3886226575255286,0.029597043239515876,0.023296440377648615,0.05100605657043343,0.021448276359148966,0.023124468310197818,0.028427542060598263,0.3886226575255286
12,vol_ratio,0.08704517195442733,0.0743772541039511,0.12986979427522313,-0.002589243178916878,-0.009426808079441261,0.007705501467077606,-0.004781934181283764,-0.007754293951745321,-0.001799119491083793,0.12986979427522313
12,trades_ratio,0.08125321905241516,0.07248146693759203,0.12141795710593974,-0.0030317800048561146,-0.01178375354044852,0.008746795891549234,-0.002326201134017263,-0.008612723729931247,0.0035081602573826414,0.12141795710593974
12,log_return_2,-0.04463947315329274,-0.044695711901242455,-0.0464235472968265,0.0033666772573615854,0.0076574294323338895,-0.007616813708147558,-0.02068200499971983,-0.022459424044438667,-0.018089928403173118,0.0464235472968265
12,taker_ratio,0.032659427749181714,0.023156215202337026,0.035125454197350595,-0.0004217039833406571,0.004531543988912256,-0.0052092222033246,-0.022079403224402216,-0.032029270202417734,-0.01480075744790843,0.035125454197350595
12,volume_imbalance,0.032893067653504325,0.02354590156829648,0.035125454193561015,-4.591139612260694e-05,0.0053767889338675635,-0.005209222203525911,-0.022119032883378773,-0.032196528359592046,-0.014800757447829164,0.035125454193561015
12,delta_norm,0.03289306765350433,0.023545901568296463,0.035125454193561015,-4.591139612260642e-05,0.0053767889338675635,-0.005209222203525909,-0.022119032883378766,-0.03219652835959203,-0.014800757447829167,0.035125454193561015
12,body,-0.03510610715903685,-0.03595037137228851,-0.03366824522393067,-0.0002892164172261917,0.002375734520699809,-0.007104498207574746,-0.01831977582083987,-0.021666478955689364,-0.012704062701892643,0.03366824522393067
12,log_return,-0.03181901307489972,-0.03234607069092518,-0.03171740979456559,7.127688080566327e-05,0.0027838404321634223,-0.0068495826797717214,-0.01816723678129895,-0.021446789500961988,-0.012627510318644895,0.03171740979456559
