future_lr_3,future_direction_3,future_rv_3,future_lr_6,future_direction_6,future_rv_6,future_lr_12,future_direction_12,future_rv_12
-0.006470397107369408,-1.0,0.005108895409750728,-0.01084266048001048,-1.0,0.0033430868931057255,0.0018615786190849803,1.0,0.004402355146850816
-0.00026172602984075866,-1.0,0.002591084804875656,-0.006689298495469842,-1.0,0.002201002102255146,0.004551762235626811,1.0,0.004038984794610441
-0.0035601442156121266,-1.0,0.000777131007876161,-0.002605651449503199,-1.0,0.0037581969529456695,-0.003069422512472997,-1.0,0.004208308259011151
-0.004372263372641072,-1.0,0.0012136373148395258,0.00012011471483042158,1.0,0.0036973584048226745,0.0027429543206345386,1.0,0.004323963016048127
-0.006427572465629083,-1.0,0.0014930393989443728,0.0043240723437474315,1.0,0.0038294755572706087,-0.003685474333305905,-1.0,0.004872401569032108
0.0009544927661089275,1.0,0.005745231296449432,0.0020250712990126374,1.0,0.004075228572263747,-0.0034903090609343934,-1.0,0.004872265834119517
0.004492378087471494,1.0,0.00511417084035028,0.01270423909909546,1.0,0.004713855804024964,-0.002195043814413822,-1.0,0.004825796365190607
0.010751644809376515,1.0,0.0031367576860061737,0.011241060731096653,1.0,0.005068211652615631,0.006905410632136011,1.0,0.0050204587829690535
0.0010705785329037099,1.0,0.002917175714400423,-0.00046377106296979775,-1.0,0.004976061021462983,-0.0014331098051663105,-1.0,0.004619256893280879
0.008211861011623967,1.0,0.005314458442147592,0.002622839605804117,1.0,0.005230467524299477,0.0013165514277755364,1.0,0.0047325592141567625
0.0004894159217201377,1.0,0.006752892920569243,-0.008009546677053336,-1.0,0.005918485264847653,0.0006206818901155486,1.0,0.004697204201382584
-0.0015343495958735076,-1.0,0.007268257920227686,-0.005515380359947031,-1.0,0.005888175904735198,-0.0012325656944902619,-1.0,0.004825786075619026
-0.0055890214058198495,-1.0,0.004927370307634979,-0.014899282913509282,-1.0,0.004039134341507728,-0.003580839352267162,-1.0,0.0045098799704201735
-0.008498962598773474,-1.0,0.005936078481896874,-0.004335650098960642,-1.0,0.005071523048767431,-0.00013708051933392085,-1.0,0.004312438377702956
-0.003981030764073523,-1.0,0.005774955537166077,-0.0009693387421965127,-1.0,0.004709260247020854,0.005578363311283141,1.0,0.004048240062280064
-0.009310261507689432,-1.0,0.003918362978591434,-0.0013062881780285807,-1.0,0.004653876394897288,0.0016729699623390104,1.0,0.003907986735881453
0.004163312499812832,1.0,0.00396266784538632,0.008630228567168885,1.0,0.002982789004887087,0.017397855513726412,1.0,0.0037202597813657113
0.0030116920218770105,1.0,0.0042447462899164404,0.004282814665456769,1.0,0.003868251822692611,0.021652796878120384,1.0,0.003747368768651855
0.008003973329660852,1.0,0.003716308829365928,0.01131844356124212,1.0,0.004120082391273287,0.02453242374061837,1.0,0.0036058570925797864
0.004466916067356053,1.0,0.002555808659860658,0.004198569579626721,1.0,0.0037389098253871925,0.02179931787920175,1.0,0.00342144680560763
0.0012711226435797585,1.0,0.004374710755802891,0.006547702053479654,1.0,0.003596560525163087,0.015397782593741027,1.0,0.004342101568666507
0.003314470231581268,1.0,0.005176304281989623,0.002979258140367591,1.0,0.0034109425043688337,0.01420609195735345,1.0,0.004300483593898897
-0.0002683464877293318,-1.0,0.0051524653818663625,0.008767626946557527,1.0,0.0046423471825796855,0.014328683583322288,1.0,0.0043036962831722895
0.005276579409899895,1.0,0.0034442780335026055,0.017369982212663615,1.0,0.0036160975987391095,0.04704929545294689,1.0,0.008564716303768554
-0.0003352120912136769,-1.0,0.0010872813860393622,0.01321398017937625,1.0,0.003401453893544179,0.07167852478602477,1.0,0.011450884646320433
0.00903597343428686,1.0,0.004485127809039733,0.01760074829957503,1.0,0.0029632363297898007,0.06491534083052741,1.0,0.01199056303859317
0.01209340280276372,1.0,0.004117636458718295,0.008850080540261374,1.0,0.005334310128684133,0.07668289613181756,1.0,0.012074374413376245
0.013549192270589927,1.0,0.003417282100662567,0.01122683381698586,1.0,0.005283835059303497,0.10141477015306499,1.0,0.012948829565553871
0.008564774865288172,1.0,0.0013479799928414083,0.005561056636764761,1.0,0.0043617895584650975,0.1047274661749551,1.0,0.012977248438413967
-0.003243322262502346,-1.0,0.0058805586516645775,0.029679313240283278,1.0,0.012073860806917308,0.10505456901283061,1.0,0.012966792706767954
-0.0023223584536040676,-1.0,0.00609321659826917,0.058464544606648516,1.0,0.015581183799602081,0.10450233239783735,1.0,0.012996303601108606
-0.003003718228523411,-1.0,0.005881621172314156,0.04731459253095238,1.0,0.017111573446992337,0.027193428371070638,1.0,0.027290749684237725
0.032922635502785624,1.0,0.014861570413306338,0.06783281559155618,1.0,0.01530691205498872,0.06793693972781512,1.0,0.028436116129343804
0.060786903060252584,1.0,0.015424256618835328,0.09018793633607913,1.0,0.015396286463775331,0.0797706758093728,1.0,0.028513947002918927
0.05031831075947579,1.0,0.021458910325282434,0.09916640953819034,1.0,0.014333242472962955,0.07829605953347851,1.0,0.028536659966659834
0.03491018008877056,1.0,0.019093413053759615,0.07537525577254733,1.0,0.013759464668751399,0.05850525922143923,1.0,0.027734839494977875
0.02940103327582655,1.0,0.01651111740916304,0.04603778779118883,1.0,0.011235727362450335,0.03256114518929998,1.0,0.02657128745113705
0.048848098778714544,1.0,0.0072759631791501685,-0.020121164159881744,-1.0,0.035636050190054426,0.045333082727193386,1.0,0.026359042270148212
0.040465075683776774,1.0,0.010304239053053162,0.0001041241362589318,1.0,0.03831701263212916,0.027468553508493088,1.0,0.026312130756772977
0.016636754515362284,1.0,0.005423070251517811,-0.010417260526706329,-1.0,0.03718821925426057,0.02163014073203051,1.0,0.02591194695484676
-0.06896926293859629,-1.0,0.044329858062599446,-0.020870350004711824,-1.0,0.03668734408531986,0.02707367858212173,1.0,0.02614317265673055
-0.04036095154751784,-1.0,0.05495363873604344,-0.016869996551108102,-1.0,0.03689368867089962,0.02888633688618114,1.0,0.026161559235559073
-0.027054015042068613,-1.0,0.05717452076984225,-0.013476642601888855,-1.0,0.036986469650453276,0.04224545529172552,1.0,0.02637148304744549
