phase_window,horizon,sector,sector_mid_deg,n,theta_mean_deg,future_rv_mean,future_lr_mean,p_up
24,3,0,15.0,4769,17.18812901114266,0.0034652186896136907,-0.00010370742079559013,0.48552852348993286
24,3,1,45.0,9259,44.61851123892892,0.00449386751495698,0.0001154306530667766,0.5145851339671564
24,3,2,75.0,1777,69.1362870045381,0.004809927226226275,0.0004035113628562297,0.5458638154192459
24,3,3,105.0,216,100.91562592806207,0.0028723549657916846,-0.0002964039858974261,0.48148148148148145
24,3,4,135.0,114,133.39790981279356,0.002407846930542237,-0.00025026094398027327,0.5175438596491229
24,3,5,165.0,104,166.08737907855772,0.002244587549036961,0.0019148981248264978,0.6730769230769231
24,3,6,195.0,110,193.91385912334243,0.002771637539154301,-0.000151482056816202,0.4727272727272727
24,3,7,225.0,94,224.53757707014321,0.00252031291782508,-0.0007717458337088889,0.43617021276595747
24,3,8,255.0,98,255.3398981692551,0.0019649377500042258,-0.00017784330163633902,0.5102040816326531
24,3,9,285.0,193,287.03624075012357,0.0023040624177022833,0.00023188451816840311,0.5492227979274611
24,3,10,315.0,695,318.83404052163394,0.0023883838647959354,0.0007875540340642194,0.543884892086331
24,3,11,345.0,2054,346.9632490762179,0.00277012611921721,-5.481807022137753e-05,0.5116845180136319
24,12,0,15.0,4769,17.18812901114266,0.0038914492779198472,0.0001352532588368735,0.5061857831830573
24,12,1,45.0,9259,44.61851123892892,0.005090438255553112,0.00024199103722380717,0.5152824279079814
24,12,2,75.0,1777,69.1362870045381,0.005247572916838561,0.002232794541352015,0.5683736634777715
24,12,3,105.0,216,100.91562592806207,0.003478571209852299,-0.0031760256574487685,0.48148148148148145
24,12,4,135.0,114,133.39790981279356,0.0031845125669118365,-0.004978337388693978,0.38596491228070173
24,12,5,165.0,104,166.08737907855772,0.003143256668439409,-0.0028690714952468274,0.5384615384615384
24,12,6,195.0,110,193.91385912334243,0.002912330950926566,-0.0018837843200548608,0.4727272727272727
24,12,7,225.0,94,224.53757707014321,0.003516388686418613,-0.0015209173892133695,0.43617021276595747
24,12,8,255.0,98,255.3398981692551,0.0026170365867983977,-0.001498894523787373,0.5
24,12,9,285.0,193,287.03624075012357,0.002884138596581105,-0.00031290668914217275,0.5440414507772021
24,12,10,315.0,695,318.83404052163394,0.0030144814530420265,0.0029810783009820278,0.6014388489208633
24,12,11,345.0,2045,346.94269453417564,0.0034043115018849764,0.00013128756304320562,0.5080684596577018
