timestamp,open,high,low,close,volume,funding_rate
2024-12-31 12:00:00+00:00,3.2019,3.545,3.1734,3.5304,4130045.0,0.0001
2024-12-31 16:00:00+00:00,3.5304,3.6565,3.4719,3.4804,4512197.0,0.0001
2024-12-31 20:00:00+00:00,3.4804,3.5899,3.4466,3.4834,2103793.0,0.0001
2025-01-01 00:00:00+00:00,3.4834,3.5923,3.41,3.4887,2020901.0,0.0001
2025-01-01 04:00:00+00:00,3.4887,3.5152,3.4419,3.4419,931219.0,0.0001
2025-01-01 08:00:00+00:00,3.4419,3.473,3.3735,3.3958,896966.0,0.0001
2025-01-01 12:00:00+00:00,3.3958,3.4464,3.305,3.3387,1105301.0,0.0001
2025-01-01 16:00:00+00:00,3.3387,3.3529,3.194,3.2936,1756028.0,0.0001
2025-01-01 20:00:00+00:00,3.2936,3.4099,3.2222,3.3538,1118979.0,0.0001
2025-01-02 00:00:00+00:00,3.3538,3.5264,3.2965,3.5088,2058610.0,0.0001
2025-01-02 04:00:00+00:00,3.5088,3.6197,3.4283,3.481,1953976.0,0.0001
2025-01-02 08:00:00+00:00,3.481,3.4842,3.3752,3.4051,1421042.0,0.0001
2025-01-02 12:00:00+00:00,3.4051,3.4396,3.277,3.3441,1751716.0,0.0001
2025-01-02 16:00:00+00:00,3.3441,3.3819,3.2843,3.3361,1010364.0,0.0001
2025-01-02 20:00:00+00:00,3.3361,3.3567,3.2615,3.2888,764855.0,0.0001
2025-01-03 00:00:00+00:00,3.2888,3.3128,3.2114,3.2181,794151.0,0.0001
2025-01-03 04:00:00+00:00,3.2181,3.2713,3.194,3.2146,618804.0,0.0001
2025-01-03 08:00:00+00:00,3.2146,3.2587,3.15,3.1909,903485.0,0.0001
2025-01-03 12:00:00+00:00,3.1909,3.374,3.1369,3.3661,1609079.0,0.0001
2025-01-03 16:00:00+00:00,3.3661,3.3665,3.2573,3.3066,1446652.0,0.0001
2025-01-03 20:00:00+00:00,3.3066,3.3783,3.2378,3.2845,832493.0,0.0001
2025-01-04 00:00:00+00:00,3.2845,3.311,3.2155,3.2402,705078.0,0.0001
2025-01-04 04:00:00+00:00,3.2402,3.2693,3.1899,3.2413,656217.0,0.0001
2025-01-04 08:00:00+00:00,3.2413,3.4016,3.2001,3.3814,1269118.0,0.0001
2025-01-04 12:00:00+00:00,3.3814,3.5396,3.2387,3.2516,2233622.0,0.0001
