horizon,feature,corr_rv_all,corr_rv_train,corr_rv_test,corr_lr_all,corr_lr_train,corr_lr_test,corr_direction_all,corr_direction_train,corr_direction_test,max_abs_test_corr
3,vol_20,0.2834727578769813,0.0873550922879903,0.410854922420493,-0.041226712471479604,-0.015284669942254792,-0.06161734009204066,-0.031785583882493404,-0.038852595642526175,-0.020287070611529366,0.410854922420493
3,funding_abs,0.25549114266541606,0.08878409507248812,0.3389024941729701,-0.06689975738003197,-0.04459985258705537,-0.09623898125976152,-0.033903207421701866,-0.024499411219196167,-0.04918655219943074,0.3389024941729701
3,funding_rate,-0.22496473169455455,-0.06337409206987481,-0.2986926644450194,0.01615505340816049,0.04613550732455575,0.015119827820272004,0.017366025379100432,0.02885116444390016,0.018438546400457615,0.2986926644450194
3,rolling_corr_ref_42,-0.12648151387512108,-0.038022482965071894,-0.22964268618051084,-0.011495331910419813,-0.01678689261316931,-0.009441939242998972,0.02283300331739199,0.031992189639864686,-0.008497572453441484,0.22964268618051084
3,relative_strength_42,-0.09297739856000176,0.0530783043736124,-0.2175596995067888,-0.02513693001349191,-0.027498723223784563,-0.028125912798142087,-0.04360191102236003,-0.06824892875530318,-0.021311416231800863,0.2175596995067888
3,price_ratio,-0.03832795341178993,0.04224802634671894,-0.21260776898046602,-0.011640420365940419,-0.0501267408049336,-0.02337334725227345,-0.018838925855253943,-0.0814925496488245,-0.01892649766126685,0.21260776898046602
3,rolling_beta_ref_42,0.10166359198402335,0.07030527830341791,0.19932886679867654,-0.05001526630434559,-0.03212209797454778,-0.10365549333585783,-0.024520528092810814,-0.02076195080438233,-0.06334985539113637,0.19932886679867654
3,rolling_corr_ref_12,-0.12066564264306592,-0.06041344135927499,-0.1966130295840157,0.016261816227520196,0.005067890801140152,0.03072011584116473,0.044619018626697635,0.040738716787603484,0.043972614965608614,0.1966130295840157
3,funding_z,-0.09501401553617753,-0.04151725409495961,-0.17060059548950013,0.017684643265611304,0.02476149660218177,0.005498379450915382,0.0186803455155612,0.028802747149060462,-0.003958383722029872,0.17060059548950013
3,rolling_beta_ref_12,0.09114977593265716,0.032128109155672026,0.16646723751836082,-0.006859718142489956,-0.02637893853483225,0.014306884419125615,0.00253376084502329,-0.0417690212835807,0.06856103757647944,0.16646723751836082
3,reference_close,-0.05369482874671267,0.03641070126907644,-0.1118295154794212,0.01567490415040003,-0.005223968469319442,0.01112086811332015,0.02440446675172491,0.0005482678683753535,-0.023852585897994796,0.1118295154794212
3,funding_abs_pct,0.0515062765958554,-0.0003656209798538585,0.10789979451017478,-0.026359875528553327,-0.03556711682929238,-0.01108024799880673,-0.03658324525139505,-0.049856438017673296,-0.008639418103577587,0.10789979451017478
3,relative_strength_12,0.0014907381716659784,0.09466330098979704,-0.09904676138928932,-0.04174031462116012,-0.05892514823552366,-0.019637948039623876,-0.055704299208214327,-0.08203556063017976,-0.014008560680573101,0.09904676138928932
3,price_ratio_z_12,0.0561048096621426,0.046005285908822045,0.07969285006569277,-0.011999207323933725,0.012696444923348272,-0.060078472862955826,-0.02038519118321105,-0.022158972073021123,-0.0199480993913165,0.07969285006569277
3,relative_log_return,0.029823236797803177,0.0435755173917135,0.017381052105156346,-0.019353532322172746,0.007592482961151248,-0.05569417117139228,-0.013014898077782232,-0.004113843960317198,-0.02998315486022922,0.05569417117139228
3,price_ratio_z_42,0.07859059640902552,0.10840136530438893,0.04845107659658104,0.00249002580506739,0.021191327630077084,-0.035353791257546285,-0.03963806806229748,-0.04730253397070985,-0.027957534306833776,0.04845107659658104
