feature,horizon,bin,n,feature_min,feature_max,future_rv_mean,future_lr_mean,p_up
vol_20,3,"(0.006, 0.0168]",595,0.0070038469302886935,0.01676705990987369,0.017816001827786043,-0.0028440191632036955,0.4720812182741117
vol_20,3,"(0.0168, 0.0205]",598,0.01677092728419859,0.020495267068479126,0.018661839927728647,-0.01064545993114513,0.40703517587939697
vol_20,3,"(0.0205, 0.0243]",598,0.020503209484776158,0.02431322903482747,0.021410842496925184,0.0004585445932313796,0.5209380234505863
vol_20,3,"(0.0243, 0.0302]",598,0.024319138155841274,0.030204477632332395,0.020835243468334975,-0.0007148719086758394,0.47571189279731996
vol_20,3,"(0.0302, 0.123]",598,0.03021039861836594,0.12304755042919427,0.02795087393573213,-0.004778137910445896,0.4278523489932886
vol_20,12,"(0.006, 0.0168]",590,0.0070038469302886935,0.01676705990987369,0.022210704226800906,-0.021326268669848696,0.4542372881355932
vol_20,12,"(0.0168, 0.0205]",594,0.01677092728419859,0.020495267068479126,0.022259089161977403,-0.026317409089018202,0.39225589225589225
vol_20,12,"(0.0205, 0.0243]",598,0.020503209484776158,0.02431322903482747,0.024614104034319007,-0.007125514095685726,0.45819397993311034
vol_20,12,"(0.0243, 0.0302]",598,0.024319138155841274,0.030204477632332395,0.02405039530801022,-0.0005988342381043773,0.47906197654941374
vol_20,12,"(0.0302, 0.123]",598,0.03021039861836594,0.12304755042919427,0.029816764715590343,-0.019161050282220555,0.4288107202680067
log_return,3,"(-0.00622, 0.0031]",598,-0.006194920931668069,0.003102060185807054,0.019687191561755607,-0.0032735888289172426,0.4278523489932886
log_return,3,"(-0.0184, -0.00622]",600,-0.01836944426746623,-0.006226116350284361,0.019917898299455148,-0.0046271087122027686,0.4623115577889447
log_return,3,"(-0.385, -0.0184]",599,-0.38400951311256115,-0.018450356952493197,0.02349429573288924,-0.0037848753529662856,0.4698996655518395
log_return,3,"(0.0031, 0.0155]",599,0.0031050568332009476,0.015478733054927751,0.02018844174861189,-0.002341645118363168,0.479933110367893
log_return,3,"(0.0155, 0.285]",600,0.015512675344179216,0.28458978744141517,0.023681404970939197,-0.0048776133340503285,0.45819397993311034
log_return,12,"(-0.00622, 0.0031]",597,-0.006194920931668069,0.003102060185807054,0.022785437137543583,-0.01457574750966414,0.440536013400335
log_return,12,"(-0.0184, -0.00622]",597,-0.01836944426746623,-0.006226116350284361,0.023616926423610313,-0.014323250662548612,0.43791946308724833
log_return,12,"(-0.385, -0.0184]",598,-0.38400951311256115,-0.018450356952493197,0.026424553678311116,-0.015812552982867167,0.4431438127090301
log_return,12,"(0.0031, 0.0155]",596,0.0031050568332009476,0.015478733054927751,0.02378887869407166,-0.011449094988215733,0.45546218487394957
log_return,12,"(0.0155, 0.285]",599,0.015512675344179216,0.28458978744141517,0.02642032007458391,-0.01820466420292362,0.4357262103505843
relative_strength_42,3,"(-0.0195, 0.067]",591,-0.019511024238964225,0.06688734350580816,0.0204098849921664,-0.0017333381372998567,0.46938775510204084
relative_strength_42,3,"(-0.0727, -0.0195]",592,-0.0727400303369965,-0.01951393930344736,0.016589256226205485,-0.0021752295211127488,0.4805414551607445
relative_strength_42,3,"(-0.155, -0.0727]",588,-0.15444979040575113,-0.07274532714668958,0.02072322189629913,-0.0069062310969293635,0.45315161839863716
relative_strength_42,3,"(-1.015, -0.155]",592,-1.0144736155735874,-0.15464811697246894,0.025003371636044887,-0.003753891956840587,0.4846938775510204
