phase_window,horizon,sector,sector_mid_deg,n,theta_mean_deg,future_rv_mean,future_lr_mean,p_up
24,3,1,45.0,5864,54.452043353352856,0.004586339004564895,0.00020293681035070537,0.5335152652225823
24,3,2,75.0,13617,68.12152486699907,0.0036303906751371236,4.304362999319045e-05,0.501762891141472
24,3,3,105.0,2,91.81614675836707,0.004714919522587176,-0.002723539532584418,0.0
24,12,1,45.0,5864,54.452043353352856,0.005166139747303331,0.0006572376138684624,0.5356412005457026
24,12,2,75.0,13608,68.11272455928237,0.004164731115890557,0.0002370040082099935,0.5115373309817755
24,12,3,105.0,2,91.81614675836707,0.004956699513540414,0.0025168376185051855,0.5
