manifold,manifold_dim,ambient_dim,reconstruction_error,smoothness,latent_utilization,complexity_penalty,score,n_points,k,mask_ratio,latent_shape,flat_baseline_error,relative_to_flat,projection_method,n_masks,reconstruction_error_mean,reconstruction_error_std,score_mean,score_std,relative_to_flat_mean,relative_to_flat_std,reconstruction_error_ci95,rank
sphere2,2,3,0.0002653584777815248,0.049298508687613624,0.75,2.75e-08,0.0002653859777815248,64,8,0.25,"[64, 3]",0.00028329509014566543,0.9366857634033899,linear,5,0.0003991363252325498,0.0003433547072617034,0.0003991638252325498,0.0003433547072617034,0.9445105733188367,0.023435751973987208,0.0003009636706060301,1
torus2,2,3,0.0012748919514504798,0.05049449074863091,0.75,2.75e-08,0.0012749194514504799,64,8,0.25,"[64, 3]",0.0013657554278345065,0.9334701700376205,linear,5,0.0005543340798234784,0.0003909237632753006,0.0005543615798234784,0.00039092376327530065,1.5147041015296843,0.657682427701455,0.0003426597866118143,2
circle,1,2,0.0007271966553550835,0.0516904723183508,0.53125,1.5000000000000002e-08,0.0007272116553550835,64,8,0.25,"[64, 2]",0.0006330089683412607,1.148793605974703,linear,5,0.0009328468602379126,0.0005143193024399005,0.0009328618602379125,0.0005143193024399005,1.1491983910735368,0.11976454329462921,0.00045082074557918926,3
cylinder,2,3,0.001535459657643476,0.049298508687613624,0.6875,2.75e-08,0.001535487157643476,64,8,0.25,"[64, 3]",0.001536114117314342,0.9995739511384674,linear,5,0.0010960384840142637,0.0005306579490274067,0.0010960659840142633,0.0005306579490274067,1.0053382651792788,0.006578874868855208,0.00046514220075575267,4
