horizon,feature,corr_rv_all,corr_rv_train,corr_rv_test,corr_lr_all,corr_lr_train,corr_lr_test,corr_direction_all,corr_direction_train,corr_direction_test,max_abs_test_corr
3,vol_20,0.17744972042078827,0.14921863822485623,0.16738342325311004,0.002618704249944489,0.021849665581751672,-0.08794179859756213,-0.001903802479100757,0.01633874094213439,-0.09779884813075299,0.16738342325311004
3,rolling_corr_ref_42,-0.048260623788309455,0.010957729134799983,-0.16488588370818655,0.01946098491332612,0.012296356520183868,0.0400375055611223,0.037288751033721985,0.04833558535657298,0.019920774769813538,0.16488588370818655
3,rolling_corr_ref_12,-0.058588158838747975,-0.024939888535054463,-0.13069990733346978,0.047666657076567476,0.05807061831937046,0.016522462584059434,0.0636892953518449,0.08944226793508228,0.009550496478601334,0.13069990733346978
3,rolling_beta_ref_42,0.08854270278336845,0.051758403025944616,-0.02037065357729299,0.01837102387854184,0.04320333804879662,-0.0910582488533171,0.006704963530634471,0.01913797944532861,-0.07590916334597371,0.0910582488533171
3,price_ratio,0.14063356294187948,0.0791009614216674,-0.022822056484540568,-0.03266278087650162,-0.04006828756720227,-0.08899947377992759,-0.0142600568016088,-0.037784382058854746,-0.058121649814503365,0.08899947377992759
3,reference_close,0.06431533450172389,-0.0372802633150628,-0.0465386011058581,-0.03252404403232289,-0.02991672421397576,-0.07783486801222594,-0.014022998282486534,-0.03988198023830882,-0.01906305831268107,0.07783486801222594
3,funding_abs_pct,0.0372917531318821,0.06120345739106634,-0.033440120410557495,-0.029058818859529902,-0.014784316610438806,-0.06826724602048155,-0.04225715583266757,-0.03951671376184324,-0.04822183568968587,0.06826724602048155
3,relative_strength_42,-0.026949886889017765,-0.010535181568948827,-0.06717825319182504,-0.022470348656727368,-0.031909195035096045,0.01041134354892834,-0.057865691450774505,-0.07645407982486653,-0.0037403145601969797,0.06717825319182504
3,funding_rate,-0.02064814632189508,-0.061422530311234125,0.012667894604948446,-0.022532948004900914,-0.0072537058094167125,-0.06136447623126044,-0.00931419709750532,-0.016426768966561447,-0.0021848938290820424,0.06136447623126044
3,relative_strength_12,-0.03615719080365291,-0.02844085309798355,-0.056189465494738855,-0.04026732983148059,-0.04702181309636575,-0.012406534462606556,-0.06940143341007839,-0.07683541007496503,-0.046498131983934606,0.056189465494738855
