horizon,feature,corr_rv_all,corr_rv_train,corr_rv_test,corr_lr_all,corr_lr_train,corr_lr_test,corr_direction_all,corr_direction_train,corr_direction_test,max_abs_test_corr
3,volume_imbalance,0.030584377186514963,0.02168805956454336,0.035400689161070545,-0.013447059368635902,-0.007333845064534075,-0.022521052811353658,-0.04718930041746709,-0.04357290618092228,-0.05315465667690575,0.05315465667690575
3,delta_norm,0.03058437718651497,0.021688059564543356,0.035400689161070545,-0.013447059368635907,-0.007333845064534078,-0.02252105281135366,-0.047189300417467106,-0.04357290618092228,-0.05315465667690575,0.05315465667690575
3,taker_ratio,0.030654978121452583,0.021915491677339145,0.03540068916432511,-0.01331896605741439,-0.0070648150920228445,-0.022521052811234253,-0.04711222681158559,-0.04333998418778674,-0.05315465667681695,0.05315465667681695
3,vwap_dev,-0.009515876142070483,-0.012049064890058416,-0.003057270166128973,-0.01055767031490798,-0.0026731416430763252,-0.031165164522284912,-0.031731139244530124,-0.027415640402493092,-0.041082616326788716,0.041082616326788716
6,taker_ratio,0.03688464737362076,0.024494489739147227,0.045531486650770205,-0.008534152024730873,-0.0045450786103760216,-0.014152286290783323,-0.03659663672195558,-0.04242787647587201,-0.03419299640838316,0.045531486650770205
6,delta_norm,0.03703778100986494,0.024721417965010685,0.045531486647095346,-0.00821027402581711,-0.0038342066429729736,-0.014152286291001265,-0.036657892348343595,-0.04265375550768988,-0.03419299640849022,0.045531486647095346
6,volume_imbalance,0.03703778100986496,0.024721417965010685,0.045531486647095325,-0.00821027402581711,-0.0038342066429729775,-0.014152286291001265,-0.03665789234834361,-0.04265375550768988,-0.03419299640849021,0.045531486647095325
6,vwap_dev,-0.005504835741541395,-0.009563086918266442,0.005504533468219438,-0.013718993501570766,-0.01190742909551599,-0.01839831622141371,-0.031417950033665216,-0.03334720628538675,-0.028815144194382775,0.028815144194382775
12,taker_ratio,0.032659427749181714,0.023156215202337026,0.035125454197350595,-0.0004217039833406571,0.004531543988912256,-0.0052092222033246,-0.022079403224402216,-0.032029270202417734,-0.01480075744790843,0.035125454197350595
12,volume_imbalance,0.032893067653504325,0.02354590156829648,0.035125454193561015,-4.591139612260694e-05,0.0053767889338675635,-0.005209222203525911,-0.022119032883378773,-0.032196528359592046,-0.014800757447829164,0.035125454193561015
12,delta_norm,0.03289306765350433,0.023545901568296463,0.035125454193561015,-4.591139612260642e-05,0.0053767889338675635,-0.005209222203525909,-0.022119032883378766,-0.03219652835959203,-0.014800757447829167,0.035125454193561015
12,vwap_dev,-0.0021646028560604797,-0.0021444531322584314,-0.0027058516184907404,-0.00656171165450389,-0.005634450514722799,-0.008949070667286304,-0.016675047465315528,-0.016686623704802367,-0.017218006752883847,0.017218006752883847
