timestamp,asset,target_position,held_position,delta,realized_log_return,selection_sharpe,quality_pass
2026-04-12 04:00:00+00:00,STGUSDT_4h,1.0,1.0,1.0,0.07626305809366811,3.173264620013549,True
2026-04-12 08:00:00+00:00,STGUSDT_4h,1.0,1.0,0.0,-0.010983374011484684,3.3602198949516984,True
2026-04-12 12:00:00+00:00,STGUSDT_4h,1.0,1.0,0.0,-0.012169462354290679,3.6488651226556605,True
2026-04-12 16:00:00+00:00,STGUSDT_4h,1.0,1.0,0.0,0.01606230488655066,3.6013182348111386,True
2026-04-12 20:00:00+00:00,STGUSDT_4h,1.0,1.0,0.0,-0.024258341858303438,3.5485768977182977,True
2026-04-13 00:00:00+00:00,STGUSDT_4h,1.0,1.0,0.0,-0.011742346145166161,3.615037537473487,True
2026-04-13 04:00:00+00:00,STGUSDT_4h,1.0,1.0,0.0,0.02749559508631139,3.508038054123509,True
2026-04-13 08:00:00+00:00,STGUSDT_4h,1.0,1.0,0.0,0.03086638033520658,3.4573271382567854,True
2026-04-13 12:00:00+00:00,STGUSDT_4h,1.0,1.0,0.0,-0.03315844287169824,3.6528127611045593,True
2026-04-13 16:00:00+00:00,STGUSDT_4h,1.0,1.0,0.0,0.012411079164422164,3.7719354537972754,True
2026-04-13 20:00:00+00:00,STGUSDT_4h,1.0,1.0,0.0,0.00495631639355198,3.6304030530012423,True
2026-04-14 00:00:00+00:00,STGUSDT_4h,1.0,1.0,0.0,0.031420667243572446,3.6796584753325328,True
2026-04-14 04:00:00+00:00,STGUSDT_4h,1.0,1.0,0.0,-0.0209800874826794,3.6995634187215747,True
2026-04-14 08:00:00+00:00,STGUSDT_4h,1.0,1.0,0.0,-0.023009480496006603,3.8202113039115457,True
2026-04-14 12:00:00+00:00,STGUSDT_4h,1.0,1.0,0.0,-0.012639934935819693,3.7325312163826116,True
2026-04-14 16:00:00+00:00,STGUSDT_4h,1.0,1.0,0.0,-0.01672872288980966,3.63627563788321,True
2026-04-14 20:00:00+00:00,STGUSDT_4h,1.0,1.0,0.0,0.01240521099572561,3.584309171967997,True
2026-04-15 00:00:00+00:00,STGUSDT_4h,1.0,1.0,0.0,-0.022359159964072842,3.5151805489393673,True
2026-04-15 04:00:00+00:00,STGUSDT_4h,1.0,1.0,0.0,-0.002515494477441163,3.5642015584033486,True
2026-04-15 08:00:00+00:00,STGUSDT_4h,1.0,1.0,0.0,0.014908689392786275,3.471163481833556,True
2026-04-15 12:00:00+00:00,STGUSDT_4h,1.0,1.0,0.0,0.029254331224723307,3.461007585392255,True
2026-04-15 16:00:00+00:00,STGUSDT_4h,1.0,1.0,0.0,-0.0032036540247806435,3.5196292143928907,True
2026-04-15 20:00:00+00:00,STGUSDT_4h,1.0,1.0,0.0,-0.011005392729765688,3.631949592312662,True
2026-04-16 00:00:00+00:00,STGUSDT_4h,1.0,1.0,0.0,0.03502235498100746,3.6190136264047736,True
2026-04-16 04:00:00+00:00,STGUSDT_4h,1.0,1.0,0.0,-0.012044957503189088,3.574056506221404,True
2026-04-16 08:00:00+00:00,STGUSDT_4h,1.0,1.0,0.0,0.013288658746379085,3.706931790562617,True
2026-04-16 12:00:00+00:00,STGUSDT_4h,1.0,1.0,0.0,-0.010729393029529962,3.657724757012625,True
2026-04-16 16:00:00+00:00,STGUSDT_4h,1.0,1.0,0.0,-0.003384832254429272,3.7098731761681556,True
2026-04-16 20:00:00+00:00,STGUSDT_4h,1.0,1.0,0.0,0.0014768485005530736,3.666150571819202,True
2026-04-17 00:00:00+00:00,STGUSDT_4h,1.0,1.0,0.0,-0.012447477990460256,3.652518305252877,True
2026-04-17 04:00:00+00:00,STGUSDT_4h,1.0,1.0,0.0,0.007966774463544008,3.658421093958115,True
2026-04-17 08:00:00+00:00,STGUSDT_4h,1.0,1.0,0.0,0.015616868336095735,3.6076036945790895,True
2026-04-17 12:00:00+00:00,STGUSDT_4h,1.0,1.0,0.0,0.024046450295282774,3.639110856805446,True
2026-04-17 16:00:00+00:00,STGUSDT_4h,1.0,1.0,0.0,-0.023231227029144,3.700111435149767,True
2026-04-17 20:00:00+00:00,STGUSDT_4h,1.0,1.0,0.0,0.012869312995786563,3.7926647917661884,True
2026-04-18 00:00:00+00:00,STGUSDT_4h,1.0,1.0,0.0,0.004435908501137711,3.69631714916234,True
2026-04-18 04:00:00+00:00,STGUSDT_4h,1.0,1.0,0.0,-0.038106803578214846,3.746695292591938,True
2026-04-18 08:00:00+00:00,STGUSDT_4h,1.0,1.0,0.0,-0.019054089863906457,3.7642963296392784,True
2026-04-18 12:00:00+00:00,STGUSDT_4h,1.0,1.0,0.0,0.004364485417502689,3.6031746659734742,True
2026-04-18 16:00:00+00:00,STGUSDT_4h,1.0,1.0,0.0,-0.021107304173557207,3.5251239815209137,True
2026-04-18 20:00:00+00:00,STGUSDT_4h,1.0,1.0,0.0,-0.04692425299906301,3.5423785959353364,True
2026-04-19 00:00:00+00:00,STGUSDT_4h,1.0,1.0,0.0,-0.005724387143343245,3.4557954330585248,True
2026-04-19 04:00:00+00:00,STGUSDT_4h,1.0,1.0,0.0,-0.004747413428819452,3.2572769357134193,True
2026-04-19 08:00:00+00:00,STGUSDT_4h,1.0,1.0,0.0,-0.016966813527004996,3.234450544904231,True
2026-04-19 12:00:00+00:00,STGUSDT_4h,1.0,1.0,0.0,-0.0035753680795786937,3.215548510515347,True
2026-04-19 16:00:00+00:00,STGUSDT_4h,1.0,1.0,0.0,-0.036983876177178424,3.1469273359182384,True
2026-04-19 20:00:00+00:00,STGUSDT_4h,1.0,1.0,0.0,0.03472432123212393,3.1327288009215564,True
2026-04-20 00:00:00+00:00,STGUSDT_4h,1.0,1.0,0.0,-0.019314917379511694,2.9797995639526875,True
2026-04-20 04:00:00+00:00,STGUSDT_4h,1.0,1.0,0.0,0.023975786849854602,3.1104444060148584,True
2026-04-20 08:00:00+00:00,STGUSDT_4h,1.0,1.0,0.0,-0.012609762196887017,3.032576455915404,True
2026-04-20 12:00:00+00:00,STGUSDT_4h,1.0,1.0,0.0,0.007801352952012423,3.1238813921928377,True
2026-04-20 16:00:00+00:00,STGUSDT_4h,1.0,1.0,0.0,-0.015614087076087286,3.0735333897791612,True
2026-04-20 20:00:00+00:00,STGUSDT_4h,1.0,1.0,0.0,-0.000249818882610275,3.103861687159717,True
2026-04-21 00:00:00+00:00,STGUSDT_4h,1.0,1.0,0.0,0.01379606021176484,3.041322805815014,True
2026-04-21 04:00:00+00:00,STGUSDT_4h,1.0,1.0,0.0,-0.0012328937574514656,3.0403420030866783,True
2026-04-21 08:00:00+00:00,STGUSDT_4h,1.0,1.0,0.0,-0.011564265162583812,2.8157419534873287,True
2026-04-21 12:00:00+00:00,STGUSDT_4h,1.0,1.0,0.0,-0.004001605980007409,2.810828714326377,True
2026-04-21 16:00:00+00:00,STGUSDT_4h,1.0,1.0,0.0,-0.0007019303371684512,2.5211308226997375,True
2026-04-21 20:00:00+00:00,STGUSDT_4h,1.0,1.0,0.0,0.009235980883718914,2.505271486274424,True
2026-04-22 00:00:00+00:00,STGUSDT_4h,1.0,1.0,0.0,0.015140969345299501,2.7454038890914565,True
2026-04-22 04:00:00+00:00,STGUSDT_4h,1.0,1.0,0.0,-0.020272634942456284,2.781737186917103,True
2026-04-22 08:00:00+00:00,STGUSDT_4h,1.0,1.0,0.0,-0.02043719422555865,2.5787741025107778,True
2026-04-22 12:00:00+00:00,STGUSDT_4h,1.0,1.0,0.0,0.013117765147655757,2.482610684154932,True
2026-04-22 16:00:00+00:00,STGUSDT_4h,1.0,1.0,0.0,-0.014903707706807292,2.3858650797494585,True
2026-04-22 20:00:00+00:00,STGUSDT_4h,1.0,1.0,0.0,-0.0020961688699901115,2.4454698849342282,True
2026-04-23 00:00:00+00:00,STGUSDT_4h,1.0,1.0,0.0,0.007190423391733126,2.3754765489364527,True
2026-04-23 04:00:00+00:00,STGUSDT_4h,1.0,1.0,0.0,0.018676136196459473,2.365784340666262,True
2026-04-23 08:00:00+00:00,STGUSDT_4h,1.0,1.0,0.0,0.0012958534508745044,2.398667192495895,True
2026-04-23 12:00:00+00:00,STGUSDT_4h,1.0,1.0,0.0,0.0007468446163568845,2.4828402076565492,True
2026-04-23 16:00:00+00:00,STGUSDT_4h,1.0,1.0,0.0,0.003180284930553331,2.4888044859469516,True
2026-04-23 20:00:00+00:00,STGUSDT_4h,1.0,1.0,0.0,-0.013435758890987495,3.0049317708633727,True
2026-04-24 00:00:00+00:00,STGUSDT_4h,1.0,1.0,0.0,0.016012313680771138,3.0198655339589666,True
2026-04-24 04:00:00+00:00,STGUSDT_4h,1.0,1.0,0.0,0.0036059215638596606,2.955203287907389,True
2026-04-24 08:00:00+00:00,STGUSDT_4h,1.0,1.0,0.0,0.013662953414969306,3.0288695995287003,True
2026-04-24 12:00:00+00:00,STGUSDT_4h,1.0,1.0,0.0,-0.015390197410404451,3.0457740895763252,True
2026-04-24 16:00:00+00:00,STGUSDT_4h,1.0,1.0,0.0,0.015390197410404484,3.1088108235486445,True
2026-04-24 20:00:00+00:00,STGUSDT_4h,1.0,1.0,0.0,-0.01046310821540776,3.0345748863279405,True
2026-04-25 00:00:00+00:00,STGUSDT_4h,1.0,1.0,0.0,-0.0016724879691792898,3.105314658479602,True
2026-04-25 04:00:00+00:00,STGUSDT_4h,1.0,1.0,0.0,0.007846254455110517,3.0552665597082544,True
2026-04-25 08:00:00+00:00,STGUSDT_4h,1.0,1.0,0.0,-0.011100855680927803,3.047376174440768,True
2026-04-25 12:00:00+00:00,STGUSDT_4h,1.0,1.0,0.0,-0.00698870282732263,3.0838498828412324,True
2026-04-25 16:00:00+00:00,STGUSDT_4h,1.0,1.0,0.0,0.0033269638652415824,3.0307343814432066,True
2026-04-25 20:00:00+00:00,STGUSDT_4h,1.0,1.0,0.0,0.0029205772807977255,2.9975206936092067,True
2026-04-26 00:00:00+00:00,STGUSDT_4h,1.0,1.0,0.0,0.02078975260900988,3.0130855989202576,True
2026-04-26 04:00:00+00:00,STGUSDT_4h,1.0,1.0,0.0,0.02216727512795067,3.026757920177668,True
2026-04-26 08:00:00+00:00,STGUSDT_4h,1.0,1.0,0.0,-0.00023678166473426623,3.1213445632733747,True
2026-04-26 12:00:00+00:00,STGUSDT_4h,1.0,1.0,0.0,-0.006986554404401406,3.2218000787492573,True
2026-04-26 16:00:00+00:00,STGUSDT_4h,1.0,1.0,0.0,-0.012429674123446779,3.220687719307523,True
2026-04-26 20:00:00+00:00,STGUSDT_4h,1.0,1.0,0.0,-0.004452625689590909,3.1875141103290714,True
2026-04-27 00:00:00+00:00,STGUSDT_4h,1.0,1.0,0.0,0.005755620348280609,3.1280273547994075,True
2026-04-27 04:00:00+00:00,STGUSDT_4h,1.0,1.0,0.0,0.03455401942497836,3.1069919080767514,True
2026-04-27 08:00:00+00:00,STGUSDT_4h,1.0,1.0,0.0,0.02010952369913222,3.133749974338622,True
2026-04-27 12:00:00+00:00,STGUSDT_4h,1.0,1.0,0.0,-0.008161064964610859,3.131114056727895,True
2026-04-27 16:00:00+00:00,STGUSDT_4h,1.0,1.0,0.0,-0.006558612027855779,3.2272349286950117,True
2026-04-27 20:00:00+00:00,STGUSDT_4h,1.0,1.0,0.0,0.0030537200429661005,3.186320913002273,True
