manifold,manifold_dim,ambient_dim,reconstruction_error,smoothness,latent_utilization,complexity_penalty,score,n_points,k,mask_ratio,latent_shape,n_masks,reconstruction_error_mean,reconstruction_error_std,score_mean,score_std,reconstruction_error_ci95,rank
cylinder,2,3,0.01679626839740721,0.16599161854404162,0.2337962962962963,2.75e-08,0.01679629589740721,10000,8,0.25,"[10000, 3]",5,0.016324786884808817,0.0003622249511558793,0.016324814384808817,0.0003622249511558793,0.00031750416866098614,1
torus2,2,3,0.14475130517797508,1.0336943346619996,0.35648148148148145,2.75e-08,0.14475133267797508,10000,8,0.25,"[10000, 3]",5,0.1367424890761293,0.009064181534151313,0.1367425165761293,0.009064181534151313,0.007945105419738181,2
sphere2,2,3,0.31760975965045424,2.112085785425188,0.3385416666666667,2.75e-08,0.31760978715045424,10000,8,0.25,"[10000, 3]",5,0.30078704904694054,0.009224982570377033,0.3007870765469406,0.009224982570377033,0.008086053742496603,3
circle,1,2,0.6401652570472994,4.100651666430189,0.3055555555555556,1.5000000000000002e-08,0.6401652720472994,10000,8,0.25,"[10000, 2]",5,0.6567006387374693,0.03037730982689828,0.6567006537374693,0.03037730982689828,0.02662688606063463,4
