,portfolio_log_return,equity,drawdown,n_active
2025-11-18 16:00:00+00:00,0.0,1.0,0.0,3
2025-11-18 20:00:00+00:00,0.0,1.0,0.0,3
2025-11-19 00:00:00+00:00,0.0,1.0,0.0,3
2025-11-19 04:00:00+00:00,0.0,1.0,0.0,3
2025-11-19 08:00:00+00:00,0.0,1.0,0.0,3
2025-11-19 12:00:00+00:00,0.0,1.0,0.0,3
2025-11-19 16:00:00+00:00,0.0,1.0,0.0,3
2025-11-19 20:00:00+00:00,0.0,1.0,0.0,3
2025-11-20 00:00:00+00:00,0.0,1.0,0.0,3
2025-11-20 04:00:00+00:00,0.0,1.0,0.0,3
2025-11-20 08:00:00+00:00,0.0,1.0,0.0,3
2025-11-20 12:00:00+00:00,0.0,1.0,0.0,3
2025-11-20 16:00:00+00:00,0.0,1.0,0.0,3
2025-11-20 20:00:00+00:00,0.0,1.0,0.0,3
2025-11-21 00:00:00+00:00,0.0,1.0,0.0,3
2025-11-21 04:00:00+00:00,0.0,1.0,0.0,3
2025-11-21 08:00:00+00:00,0.0,1.0,0.0,3
2025-11-21 12:00:00+00:00,0.0,1.0,0.0,3
2025-11-21 16:00:00+00:00,0.0,1.0,0.0,3
2025-11-21 20:00:00+00:00,0.0,1.0,0.0,3
2025-11-22 00:00:00+00:00,0.0,1.0,0.0,3
2025-11-22 04:00:00+00:00,0.0,1.0,0.0,3
2025-11-22 08:00:00+00:00,0.0,1.0,0.0,3
2025-11-22 12:00:00+00:00,0.0,1.0,0.0,3
2025-11-22 16:00:00+00:00,0.0,1.0,0.0,3
2025-11-22 20:00:00+00:00,0.0,1.0,0.0,3
2025-11-23 00:00:00+00:00,0.0,1.0,0.0,3
2025-11-23 04:00:00+00:00,0.0,1.0,0.0,3
2025-11-23 08:00:00+00:00,0.0,1.0,0.0,3
2025-11-23 12:00:00+00:00,0.0,1.0,0.0,3
2025-11-23 16:00:00+00:00,0.0,1.0,0.0,3
2025-11-23 20:00:00+00:00,0.0,1.0,0.0,3
2025-11-24 00:00:00+00:00,0.0,1.0,0.0,3
2025-11-24 04:00:00+00:00,0.0,1.0,0.0,3
2025-11-24 08:00:00+00:00,0.0,1.0,0.0,3
2025-11-24 12:00:00+00:00,0.0,1.0,0.0,3
2025-11-24 16:00:00+00:00,0.0,1.0,0.0,3
2025-11-24 20:00:00+00:00,0.0,1.0,0.0,3
2025-11-25 00:00:00+00:00,0.0,1.0,0.0,3
2025-11-25 04:00:00+00:00,0.0,1.0,0.0,3
2025-11-25 08:00:00+00:00,0.0,1.0,0.0,3
2025-11-25 12:00:00+00:00,0.0,1.0,0.0,3
2025-11-25 16:00:00+00:00,0.0,1.0,0.0,3
2025-11-25 20:00:00+00:00,0.0,1.0,0.0,3
2025-11-26 00:00:00+00:00,0.0,1.0,0.0,3
2025-11-26 04:00:00+00:00,0.0,1.0,0.0,3
2025-11-26 08:00:00+00:00,0.0,1.0,0.0,3
2025-11-26 12:00:00+00:00,0.0,1.0,0.0,3
2025-11-26 16:00:00+00:00,0.0,1.0,0.0,3
2025-11-26 20:00:00+00:00,-0.00018826601011155046,0.9998117517108216,-0.00018824828917840541,3
2025-11-27 00:00:00+00:00,0.003233474864906134,1.0030498502133856,0.0,3
2025-11-27 04:00:00+00:00,-0.00037166350347104317,1.0026771224608408,-0.00037159444514689444,3
2025-11-27 08:00:00+00:00,-0.00018826601011155046,1.0024883702079392,-0.0005597727823067888,3
2025-11-27 12:00:00+00:00,0.0,1.0024883702079392,-0.0005597727823067888,3
2025-11-27 16:00:00+00:00,0.0,1.0024883702079392,-0.0005597727823067888,3
2025-11-27 20:00:00+00:00,-0.0025987977107653497,0.999886488073413,-0.0031537436940941577,3
2025-11-28 00:00:00+00:00,-0.0014688588539340528,0.9984188740752554,-0.00461689529901721,3
2025-11-28 04:00:00+00:00,-0.0015425308588062569,0.9968799693611242,-0.006151120855009129,3
2025-11-28 08:00:00+00:00,0.0014061903081557991,0.9982827583754398,-0.004752597128579006,3
2025-11-28 12:00:00+00:00,0.0022342069649975834,1.0005156220782456,-0.002526522619589411,3
2025-11-28 16:00:00+00:00,-0.0031474302227883074,0.9973715194882418,-0.005661065323857795,3
2025-11-28 20:00:00+00:00,-0.0002314835178609023,0.9971406711401211,-0.005891211759821657,3
2025-11-29 00:00:00+00:00,-0.002768186630167778,0.994384216616347,-0.008639285071619374,3
2025-11-29 04:00:00+00:00,-0.0029825010505979167,0.9914228829311698,-0.011591614593972843,4
2025-11-29 08:00:00+00:00,0.0017890649152619627,0.9931981904238575,-0.00982170506025426,4
2025-11-29 12:00:00+00:00,-0.002528163023849249,0.9906903948771972,-0.012321875461682175,4
2025-11-29 16:00:00+00:00,-0.0005634621093208389,0.9901323356150051,-0.012878237901767675,4
2025-11-29 20:00:00+00:00,0.004370612118993275,0.9944692906708166,-0.008554469691355426,4
2025-11-30 00:00:00+00:00,-0.0002613573732132947,0.9942094127512501,-0.008813557432120422,4
2025-11-30 04:00:00+00:00,-0.0016765061653334038,0.9925440109594009,-0.010473895441736714,4
2025-11-30 08:00:00+00:00,-0.0004255346461337487,0.992121738946983,-0.01089488350362422,4
2025-11-30 12:00:00+00:00,-0.00011704447271804041,0.9920056233766512,-0.011010646015634062,4
2025-11-30 16:00:00+00:00,0.0032362967538477096,0.9952212485073682,-0.007804798240438338,4
2025-11-30 20:00:00+00:00,-0.005233524110386372,0.9900263398053837,-0.012983911422977945,4
2025-12-01 00:00:00+00:00,-0.005426110456351927,0.9846688957173784,-0.01832506579019666,4
2025-12-01 04:00:00+00:00,-0.0064141402489848506,0.9783733033117556,-0.024601515962920817,5
2025-12-01 08:00:00+00:00,0.0017587637327459405,0.9800955448587495,-0.02288451102380684,5
2025-12-01 12:00:00+00:00,-0.0013370933125078442,0.9787859413862339,-0.024190132546243692,5
2025-12-01 16:00:00+00:00,0.0006974262672870459,0.9794688105095606,-0.023509339739005375,5
2025-12-01 20:00:00+00:00,0.003647761155228893,0.9830482032051154,-0.01994083046222983,5
2025-12-02 00:00:00+00:00,-0.0012904272601531597,0.981780469140872,-0.021204709883550388,5
2025-12-02 04:00:00+00:00,0.00015193205378029025,0.9819296443958745,-0.021055988207383747,5
