manifold,manifold_dim,ambient_dim,reconstruction_error,smoothness,latent_utilization,complexity_penalty,score,n_points,k,mask_ratio,latent_shape,n_masks,reconstruction_error_mean,reconstruction_error_std,score_mean,score_std,reconstruction_error_ci95,rank
s1_r2,3,4,0.008978955066109084,0.10532635471783024,0.09120912091209121,4e-08,0.008978995066109084,9999,8,0.25,"[9999, 4]",8,0.0071046073001474535,0.0008816289275442286,0.007104647300147453,0.0008816289275442286,0.0006109376772936125,1
cylinder,2,3,0.039591112102927324,0.3079219753599131,0.20949074074074073,2.75e-08,0.039591139602927324,9999,8,0.25,"[9999, 3]",8,0.03979708914440622,0.001435527961968904,0.039797116644406216,0.001435527961968904,0.000994770125361294,2
plane3d,3,3,0.038023176160075986,0.3079219753599131,0.20949074074074073,3.75e-08,0.03802321366007599,9999,8,0.25,"[9999, 3]",8,0.040329871786169355,0.001467158610000672,0.04032990928616936,0.0014671586100006718,0.0010166890461635503,3
torus2,2,3,0.10904063593742613,0.7819317542244018,0.390625,2.75e-08,0.10904066343742613,9999,8,0.25,"[9999, 3]",8,0.10947874558991236,0.005305879588143307,0.10947877308991236,0.005305879588143307,0.0036767869681967095,4
sphere2,2,3,0.23603315223476776,1.4230295119334027,0.33622685185185186,2.75e-08,0.23603317973476776,9999,8,0.25,"[9999, 3]",8,0.2162152789454423,0.012798808438421544,0.2162153064454423,0.012798808438421544,0.008869121753157171,5
circle,1,2,0.4023333959107716,2.3635509698480126,0.3055555555555556,1.5000000000000002e-08,0.4023334109107716,9999,8,0.25,"[9999, 2]",8,0.3922535479957425,0.009940886230894645,0.39225356299574254,0.009940886230894645,0.00688868270357219,6
